1,2,3,4,5,6,7,8,9
5,33,128,178,121,269,47,91,128
14,16,119,161,185,231,31,76,167
24,43,122,106,23,251,12,342,77
16,35,58,4,207,234,2,341,103
3,4,122,171,24,32,32,351,261
0,90,110,160,40,260,40,60,240
43,66,67,88,6,272,27,206,225
0,71,100,169,219,237,0,102,102
21,21,21,21,21,290,305,150,150
12,23,51,93,157,235,47,161,221
34,54,84,116,45,216,263,54,134
12,23,36,145,164,212,12,341,55
11,77,125,180,235,266,2,2,102
13,13,53,173,103,263,276,53,53
0,10,20,160,210,35,25,320,220
25,36,71,73,9,208,25,285,268
23,36,69,52,196,206,266,76,76
4,35,81,109,137,8,39,253,334
12,37,61,121,171,10,2,274,312
22,66,110,154,198,176,132,88,54
9,28,26,113,187,3,221,352,61
8,23,4,129,221,225,278,51,61
22,43,81,168,2,2,2,340,340
21,12,52,172,102,262,275,52,52
3,67,30,146,176,52,122,163,241
4,61,73,163,183,22,50,42,402
21,31,123,41,173,224,21,314,52
8,16,54,138,188,208,274,53,61
23,53,83,113,143,173,203,104,105
5,54,117,84,14,109,294,144,179
24,22,35,143,162,210,11,339,54
53,53,53,53,193,193,194,104,104
15,51,76,101,203,304,153,51,46
39,42,44,42,43,364,12,214,200
8,19,31,121,102,246,271,46,156
18,22,50,151,301,2,2,303,151
14,34,105,114,165,201,239,59,69
25,20,34,144,163,211,10,340,53
9,14,26,49,61,229,340,51,221
26,50,72,12,150,172,10,240,268
5,5,21,101,101,222,369,64,112
6,16,61,61,169,202,205,130,150
10,40,19,140,34,218,230,220,89
50,50,50,100,200,250,150,100,50
21,36,11,85,51,157,41,282,316
0,32,32,152,182,222,274,53,53
2,4,6,114,144,291,2,335,102
9,16,25,27,208,7,343,346,19
18,1,32,171,194,170,283,43,88
8,15,25,153,183,161,10,222,223
11,16,67,116,166,266,316,21,21
21,21,55,55,57,143,143,251,254
29,11,51,171,101,261,274,51,51
13,124,86,121,121,154,129,127,125
42,48,56,67,84,112,169,338,84
8,112,216,54,153,258,26,92,81
49,71,71,80,108,139,135,184,163
34,12,91,13,154,14,299,17,366
3,12,42,137,133,265,57,339,12
2,2,137,2,221,271,2,2,361
89,89,89,89,89,89,89,188,189
11,21,53,85,117,151,185,223,154
41,21,57,177,162,192,8,309,33
15,34,34,154,184,224,267,44,44
5,0,51,77,128,111,288,200,140
3,51,3,3,201,3,332,3,401
30,170,30,170,30,170,30,200,170
17,20,24,88,157,72,153,160,309
25,50,100,200,250,200,100,50,25
3,3,5,152,202,202,72,335,26
2,39,19,76,77,168,26,278,315
33,33,34,15,15,215,300,340,15
20,30,35,75,100,100,215,200,225
17,101,27,31,34,38,310,44,398
37,10,50,170,100,260,273,50,50
1,5,17,62,112,183,331,216,73
111,111,112,110,112,110,112,112,110
0,0,53,30,32,169,193,279,244
8,2,13,17,52,182,212,242,272
7,11,117,143,177,235,257,26,27
20,3,31,28,80,194,263,181,200
43,42,77,123,173,202,253,36,51
3,48,7,105,17,169,246,336,69
17,32,56,113,115,212,234,183,38
0,0,0,9,200,230,288,252,21
3,4,5,6,7,183,231,264,297
7,8,117,154,186,224,268,18,18
40,57,65,113,195,250,280,0,0
0,0,3,147,190,216,350,80,14
29,32,33,34,161,182,212,268,49
6,7,42,19,112,88,303,12,411
3,23,53,72,102,302,402,21,22
2,3,100,150,5,200,240,280,20
2,2,2,2,2,151,151,338,350
3,11,32,211,223,253,263,2,2
10,110,110,20,10,10,410,310,10
11,15,51,77,177,203,252,202,12
10,56,84,111,141,161,195,227,15
1,10,9,30,100,250,300,300,0
82,52,92,91,232,132,311,4,4
11,13,21,131,161,171,237,235,20
20,56,84,112,139,167,195,220,7
6,7,11,11,31,61,121,251,501
3,1,1,17,1,37,388,501,51
0,0,0,0,0,0,230,267,503
213,247,125,91,96,83,51,67,27
0,0,0,0,0,0,0,1000,0
