1,2,3,4,5,6,7,8,9,total_gold
5,33,128,178,121,269,47,91,128,2763
14,16,119,161,185,231,31,76,167,2739
24,43,122,106,23,251,12,342,77,2674
16,35,58,4,207,234,2,341,103,2673
3,4,122,171,24,32,32,351,261,2658
0,90,110,160,40,260,40,60,240,2654
43,66,67,88,6,272,27,206,225,2649
0,71,100,169,219,237,0,102,102,2617
21,21,21,21,21,290,305,150,150,2580
12,23,51,93,157,235,47,161,221,2576
34,54,84,116,45,216,263,54,134,2570
12,23,36,145,164,212,12,341,55,2567
11,77,125,180,235,266,2,2,102,2566
13,13,53,173,103,263,276,53,53,2556
0,10,20,160,210,35,25,320,220,2548
25,36,71,73,9,208,25,285,268,2544
23,36,69,52,196,206,266,76,76,2535
4,35,81,109,137,8,39,253,334,2533
12,37,61,121,171,10,2,274,312,2521
22,66,110,154,198,176,132,88,54,2515
9,28,26,113,187,3,221,352,61,2514
8,23,4,129,221,225,278,51,61,2511
22,43,81,168,2,2,2,340,340,2510
21,12,52,172,102,262,275,52,52,2504
3,67,30,146,176,52,122,163,241,2502
4,61,73,163,183,22,50,42,402,2502
21,31,123,41,173,224,21,314,52,2489
8,16,54,138,188,208,274,53,61,2486
23,53,83,113,143,173,203,104,105,2483
5,54,117,84,14,109,294,144,179,2481
24,22,35,143,162,210,11,339,54,2480
53,53,53,53,193,193,194,104,104,2474
15,51,76,101,203,304,153,51,46,2469
39,42,44,42,43,364,12,214,200,2468
8,19,31,121,102,246,271,46,156,2466
18,22,50,151,301,2,2,303,151,2460
14,34,105,114,165,201,239,59,69,2454
25,20,34,144,163,211,10,340,53,2453
9,14,26,49,61,229,340,51,221,2446
26,50,72,12,150,172,10,240,268,2446
5,5,21,101,101,222,369,64,112,2437
6,16,61,61,169,202,205,130,150,2435
10,40,19,140,34,218,230,220,89,2434
50,50,50,100,200,250,150,100,50,2428
21,36,11,85,51,157,41,282,316,2424
0,32,32,152,182,222,274,53,53,2424
2,4,6,114,144,291,2,335,102,2418
9,16,25,27,208,7,343,346,19,2416
18,1,32,171,194,170,283,43,88,2414
8,15,25,153,183,161,10,222,223,2413
11,16,67,116,166,266,316,21,21,2403
21,21,55,55,57,143,143,251,254,2395
29,11,51,171,101,261,274,51,51,2393
13,124,86,121,121,154,129,127,125,2391
42,48,56,67,84,112,169,338,84,2388
8,112,216,54,153,258,26,92,81,2388
49,71,71,80,108,139,135,184,163,2385
34,12,91,13,154,14,299,17,366,2383
3,12,42,137,133,265,57,339,12,2366
2,2,137,2,221,271,2,2,361,2363
89,89,89,89,89,89,89,188,189,2356
11,21,53,85,117,151,185,223,154,2353
41,21,57,177,162,192,8,309,33,2351
15,34,34,154,184,224,267,44,44,2348
5,0,51,77,128,111,288,200,140,2348
3,51,3,3,201,3,332,3,401,2341
30,170,30,170,30,170,30,200,170,2335
17,20,24,88,157,72,153,160,309,2331
25,50,100,200,250,200,100,50,25,2330
3,3,5,152,202,202,72,335,26,2330
2,39,19,76,77,168,26,278,315,2318
33,33,34,15,15,215,300,340,15,2317
20,30,35,75,100,100,215,200,225,2311
17,101,27,31,34,38,310,44,398,2311
37,10,50,170,100,260,273,50,50,2308
1,5,17,62,112,183,331,216,73,2306
111,111,112,110,112,110,112,112,110,2304
0,0,53,30,32,169,193,279,244,2303
8,2,13,17,52,182,212,242,272,2301
7,11,117,143,177,235,257,26,27,2298
20,3,31,28,80,194,263,181,200,2293
43,42,77,123,173,202,253,36,51,2291
3,48,7,105,17,169,246,336,69,2290
17,32,56,113,115,212,234,183,38,2286
0,0,0,9,200,230,288,252,21,2280
3,4,5,6,7,183,231,264,297,2260
7,8,117,154,186,224,268,18,18,2258
40,57,65,113,195,250,280,0,0,2253
0,0,3,147,190,216,350,80,14,2243
29,32,33,34,161,182,212,268,49,2226
6,7,42,19,112,88,303,12,411,2225
3,23,53,72,102,302,402,21,22,2193
2,3,100,150,5,200,240,280,20,2189
2,2,2,2,2,151,151,338,350,2175
3,11,32,211,223,253,263,2,2,2165
10,110,110,20,10,10,410,310,10,2158
11,15,51,77,177,203,252,202,12,2144
10,56,84,111,141,161,195,227,15,2142
1,10,9,30,100,250,300,300,0,2141
82,52,92,91,232,132,311,4,4,2136
11,13,21,131,161,171,237,235,20,2127
20,56,84,112,139,167,195,220,7,2099
6,7,11,11,31,61,121,251,501,2099
3,1,1,17,1,37,388,501,51,2017
0,0,0,0,0,0,230,267,503,1974
213,247,125,91,96,83,51,67,27,1751
0,0,0,0,0,0,0,1000,0,848
